person|người
bicycle|xe đạp
car|ô tô
motorcycle|xe máy
airplane|máy bay
bus|xe buýt
train|tàu hỏa
truck|xe tải
boat|thuyền
traffic light|đèn giao thông
fire hydrant|trụ cứu hỏa
stop sign|biển dừng
parking meter|đồng hồ đỗ xe
bench|ghế băng
bird|chim
cat|mèo
dog|chó
horse|ngựa
sheep|cừu
cow|bò
elephant|voi
bear|gấu
zebra|ngựa vằn
giraffe|hươu cao cổ
backpack|ba lô
umbrella|ô
handbag|túi xách
tie|cà vạt
suitcase|va li
frisbee|đĩa bay
skis|ván trượt tuyết
snowboard|ván trượt
sports ball|bóng
kite|diều
baseball bat|gậy bóng chày
baseball glove|găng bóng chày
skateboard|ván trượt
surfboard|ván lướt
tennis racket|vợt tennis
bottle|chai
wine glass|ly rượu
cup|cốc
fork|nĩa
knife|dao
spoon|muỗng
bowl|bát
banana|chuối
apple|táo
sandwich|bánh mì kẹp
orange|cam
broccoli|bông cải xanh
carrot|cà rốt
hot dog|xúc xích
pizza|pizza
donut|bánh vòng
cake|bánh ngọt
chair|ghế
couch|sofa
potted plant|cây cảnh
bed|giường
dining table|bàn ăn
toilet|bồn cầu
tv|ti vi
laptop|máy tính xách tay
mouse|chuột máy tính
remote|điều khiển
keyboard|bàn phím
cell phone|điện thoại
microwave|lò vi sóng
oven|lò nướng
toaster|máy nướng bánh
sink|bồn rửa
refrigerator|tủ lạnh
book|sách
clock|đồng hồ
vase|lọ hoa
scissors|kéo
teddy bear|gấu bông
hair drier|máy sấy tóc
toothbrush|bàn chải đánh răng
